"Indicator","Market","Destination","Units","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04"
"Airseat","Oceania, Scheduled","All airports in Hawaii","number","16,566","11,974","12,770","13,603","13,869","13,186","15,233","14,658","14,355","14,431","13,220","14,659","15,140","12,133","12,614","13,447","13,750","13,220","14,885","14,658","15,870","16,581","14,883","15,315","16,680","13,444","14,758","18,291","18,288","18,932","21,404","17,926","17,623","18,229","17,041","23,425","27,114","20,977","19,561","21,441","20,654","20,525","24,621","23,966","25,150","25,128","22,199","29,320","30,937","25,596","34,089","39,251","36,308","34,251","35,810","34,834","38,191","39,526","32,096","35,745","37,903","28,908","31,949","36,780","33,538","34,375","38,664","35,994","37,567","38,498","37,194","40,910","43,893","36,014","40,173","41,930","41,570","41,332","44,024","40,830","42,461","45,628","40,253","45,192","47,002","37,286","41,719","45,757","43,769","42,817","47,991","42,308","45,282","43,857","35,775","41,078","42,431","33,288","38,088","39,664","38,031","41,617","45,533","40,919","41,313","40,283","38,020","43,935","44,702","33,908","41,091","45,819","45,185","47,229","49,309","44,765","48,924","47,844","39,057","45,212","44,633","34,530","36,782","42,834","41,905","40,407","49,414","40,560","45,703","44,105","33,454","40,255","41,669","31,016","23,052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5,396","11,165","4,448","12,260","19,350","18,554","17,511","29,938","25,651","24,610","28,408","26,650","28,630","32,232","21,911","25,837","29,171","26,985","26,925","29,938","27,319","26,570","28,049","26,985","28,154","29,847","24,623","25,821","4,123","22,086","22,595","24,007","24,395","24,235","24,506","23,380","27,974","29,233","21,664","23,601","26,412","23,224","21,434","21,316","22,394","21,193","21,434","19,114","24,432","26,714","16,951","19,433","20,173"
"Airseat","Oceania, Scheduled","Honolulu","number","16,566","11,974","12,770","13,603","13,869","13,186","15,233","14,658","14,355","14,431","13,220","14,659","15,140","12,133","12,614","13,447","13,750","13,220","14,885","14,658","15,870","16,581","14,883","15,315","16,680","13,444","14,758","18,291","18,288","18,932","21,404","17,926","17,623","18,229","17,041","23,425","27,114","20,977","19,561","21,441","20,654","20,525","24,621","23,966","25,150","25,128","22,199","29,320","30,937","25,596","34,089","39,251","36,308","34,251","35,810","34,834","38,191","39,526","32,096","35,745","37,903","28,908","31,949","36,780","33,538","34,375","38,664","35,994","37,567","38,498","37,194","40,910","43,893","36,014","40,173","41,930","41,570","41,332","44,024","40,830","42,461","45,628","40,253","45,192","47,002","37,286","41,719","45,757","43,769","42,817","47,991","42,308","45,282","43,857","35,775","41,078","42,431","33,288","38,088","39,664","38,031","41,617","45,533","40,919","41,313","40,283","38,020","43,935","44,702","33,908","41,091","45,819","45,185","47,229","49,309","44,765","48,924","47,844","39,057","45,212","44,633","34,530","36,782","42,834","41,905","40,407","49,414","40,560","45,703","44,105","33,454","40,255","41,669","31,016","23,052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5,396","11,165","4,448","12,260","19,350","18,554","17,511","29,938","25,651","24,610","28,408","26,650","28,630","32,232","21,911","25,837","29,171","26,985","26,925","29,938","27,319","26,570","28,049","26,985","28,154","29,847","24,623","25,821","4,123","22,086","22,595","24,007","24,395","24,235","24,506","23,380","27,974","29,233","21,664","23,601","26,412","23,224","21,434","21,316","22,394","21,193","21,434","19,114","24,432","26,714","16,951","19,433","20,173"
"Airseat","Oceania, Scheduled","Kahului","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Oceania, Scheduled","Kona","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Oceania, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Oceania, Scheduled","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Other, Scheduled","All airports in Hawaii","number","23,895","20,824","22,967","22,186","23,051","24,076","24,209","23,426","21,673","23,090","21,823","24,510","24,260","21,744","23,751","22,424","22,902","24,025","24,935","24,318","22,766","23,629","22,529","23,975","23,845","21,072","23,304","22,470","23,688","23,758","24,433","24,154","22,581","22,170","22,267","24,086","23,570","21,498","23,330","22,848","23,587","23,732","25,085","24,111","22,986","23,565","23,081","24,433","24,241","22,028","24,121","24,193","23,784","26,124","27,628","22,896","21,515","21,521","21,652","22,266","22,242","19,832","22,008","21,057","22,282","21,570","22,322","23,630","22,142","22,999","22,564","26,203","27,005","22,542","25,094","24,147","25,560","24,592","26,252","25,606","23,346","24,703","22,745","24,394","25,234","22,759","24,179","24,021","24,542","24,891","26,452","24,220","22,975","23,762","22,925","24,988","24,171","21,697","23,825","23,667","23,990","25,735","26,807","25,624","23,913","24,333","23,326","26,771","25,694","23,871","26,908","25,828","26,650","27,354","27,516","26,348","23,904","25,700","25,340","27,702","26,674","23,344","26,554","25,279","26,940","27,398","28,563","736","24,667","26,190","25,228","28,068","27,186","24,971","4,690","9,590","11,284","12,465","12,211","11,902","11,174","11,902","12,488","12,520","11,538","10,642","9,217","8,589","11,024","10,727","13,631","12,539","13,054","13,795","13,404","14,707","13,981","13,353","15,994","16,955","16,206","18,344","25,028","20,192","19,661","20,049","20,141","23,081","25,692","21,688","23,472","22,535","20,401","24,310","25,028","24,502","22,472","23,109","22,669","23,075","24,363","22,771","24,703","680","25,547","26,254","25,301","25,247","21,412","23,449","22,529","24,779","24,193","25,387","28,755","27,960","28,498","25,745","29,953","28,018","26,185","28,468","26,986","28,206","28,787","25,322","29,454","26,331"
"Airseat","Other, Scheduled","Honolulu","number","23,895","20,824","22,967","22,186","23,051","24,076","24,209","23,426","21,673","23,090","21,823","24,510","24,260","21,744","23,751","22,424","22,902","24,025","24,935","24,318","22,766","23,629","22,529","23,975","23,845","21,072","23,304","22,470","23,688","23,758","24,433","24,154","22,581","22,170","22,267","24,086","23,570","21,498","23,330","22,848","23,587","23,732","25,085","24,111","22,986","23,565","23,081","24,433","24,241","22,028","24,121","24,193","23,784","26,124","27,628","22,896","21,515","21,521","21,652","22,266","22,242","19,832","22,008","21,057","22,282","21,570","22,322","23,630","22,142","22,999","22,564","26,203","27,005","22,542","25,094","24,147","25,560","24,592","26,252","25,606","23,346","24,703","22,745","24,394","25,234","22,759","24,179","24,021","24,542","24,891","26,452","24,220","22,975","23,762","22,925","24,988","24,171","21,697","23,825","23,667","23,990","25,735","26,807","25,624","23,913","24,333","23,326","26,771","25,694","23,871","26,908","25,828","26,650","27,354","27,516","26,348","23,904","25,700","25,340","27,702","26,674","23,344","26,554","25,279","26,940","27,398","28,563","736","24,667","26,190","25,228","28,068","27,186","24,971","4,690","9,590","11,284","12,465","12,211","11,902","11,174","11,902","12,488","12,520","11,538","10,642","9,217","8,589","11,024","10,727","13,631","12,539","13,054","13,795","13,404","14,707","13,981","13,353","15,994","16,955","16,206","18,344","25,028","20,192","19,661","20,049","20,141","23,081","25,692","21,688","23,472","22,535","20,401","24,310","25,028","24,502","22,472","23,109","22,669","23,075","24,363","22,771","24,703","680","25,547","26,254","25,301","25,247","21,412","23,449","22,529","24,779","24,193","25,387","28,755","27,960","28,498","25,745","29,953","28,018","26,185","28,468","26,986","28,206","28,787","25,322","29,454","26,331"
"Airseat","Other, Scheduled","Kahului","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Other, Scheduled","Kona","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Other, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Other, Scheduled","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."
