"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Visitors from Taiwan","Gasoline, parking, etc.","Daily spending ($)","dollar","","","","","2.20","1.30","1.17","2.70","1.99","1.09","1.62","","1.52","1.27","1.33",""
"Visitors from Taiwan","Gasoline, parking, etc.","% of total spending","percent","","","","","0.9","0.6","0.5","1.0","0.9","0.5","0.6","","0.7","0.5","0.5",""
"Visitors from Taiwan","Total Shopping","Daily spending ($)","dollar","","","","","74.14","65.83","59.32","73.11","75.17","56.95","63.72","","62.58","62.70","41.31",""
"Visitors from Taiwan","Total Shopping","% of total spending","percent","","","","","31.2","32.2","26.7","27.6","33.8","23.6","25.4","","27.5","25.4","15.6",""
"Visitors from Taiwan","Fashion and clothing","Daily spending ($)","dollar","","","","","28.35","31.03","19.04","20.30","32.51","26.09","26.70","","26.90","27.84","15.71",""
"Visitors from Taiwan","Fashion and clothing","% of total spending","percent","","","","","11.9","15.2","8.6","7.7","14.6","10.8","10.6","","11.8","11.3","5.9",""
"Visitors from Taiwan","Jewelry and watches","Daily spending ($)","dollar","","","","","3.78","4.86","0.79","1.75","6.16","1.69","6.29","","4.71","3.69","1.44",""
"Visitors from Taiwan","Jewelry and watches","% of total spending","percent","","","","","1.6","2.4","0.4","0.7","2.8","0.7","2.5","","2.1","1.5","0.5",""
"Visitors from Taiwan","Cosmetics, perfume","Daily spending ($)","dollar","","","","","3.63","2.51","2.93","6.99","4.81","4.45","2.98","","3.94","4.40","1.77",""
"Visitors from Taiwan","Cosmetics, perfume","% of total spending","percent","","","","","1.5","1.2","1.3","2.6","2.2","1.8","1.2","","1.7","1.8","0.7",""
"Visitors from Taiwan","Leather goods","Daily spending ($)","dollar","","","","","21.13","15.65","15.07","27.65","16.74","9.50","12.87","","12.75","10.59","3.18",""
"Visitors from Taiwan","Leather goods","% of total spending","percent","","","","","8.9","7.7","6.8","10.4","7.5","3.9","5.1","","5.6","4.3","1.2",""
"Visitors from Taiwan","Hawaii food products","Daily spending ($)","dollar","","","","","10.90","9.07","13.00","7.88","10.07","9.22","9.19","","9.06","9.88","9.39",""
"Visitors from Taiwan","Hawaii food products","% of total spending","percent","","","","","4.6","4.4","5.9","3.0","4.5","3.8","3.7","","4.0","4.0","3.5",""
"Visitors from Taiwan","Souvenirs","Daily spending ($)","dollar","","","","","6.36","2.71","8.50","8.55","4.88","6.01","5.69","","5.21","6.30","2.15",""
"Visitors from Taiwan","Souvenirs","% of total spending","percent","","","","","2.7","1.3","3.8","3.2","2.2","2.5","2.3","","2.3","2.6","0.8",""
"Visitors from Taiwan","Lodging","Daily spending ($)","dollar","","","","","65.26","60.00","66.61","79.45","62.32","77.41","71.04","","68.33","75.30","118.24",""
"Visitors from Taiwan","Lodging","% of total spending","percent","","","","","27.4","29.4","30.0","30.0","28.1","32.1","28.3","","30.0","30.5","44.6",""
"Visitors from Taiwan","All other expenses","Daily spending ($)","dollar","","","","","5.95","4.04","7.37","6.16","4.71","6.37","7.41","","5.62","7.57","1.27",""
"Visitors from Taiwan","All other expenses","% of total spending","percent","","","","","2.5","2.0","3.3","2.3","2.1","2.6","3.0","","2.5","3.1","0.5",""
"Visitors from Latin America","Grand Total","Daily spending ($)","dollar","184.94","212.45","211.44","200.18","222.15","269.45","247.41","186.72","253.45","240.60","233.66","","249.65","249.01","313.49","260.11"
"Visitors from Latin America","Grand Total","% of total spending","percent","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from Latin America","Total Food and beverage","Daily spending ($)","dollar","33.35","41.28","39.64","38.46","42.05","37.44","49.15","33.45","42.92","41.97","46.77","","45.58","47.43","59.15","68.27"
"Visitors from Latin America","Total Food and beverage","% of total spending","percent","18.0","19.4","18.7","19.2","18.9","13.9","19.9","17.9","16.9","17.4","20.0","","18.3","19.0","18.9","26.2"
"Visitors from Latin America","Restaurant food","Daily spending ($)","dollar","24.48","29.77","28.30","27.31","26.57","25.49","30.27","22.37","26.77","27.90","26.53","","28.54","29.24","35.77","41.98"
"Visitors from Latin America","Restaurant food","% of total spending","percent","13.2","14.0","13.4","13.6","12.0","9.5","12.2","12.0","10.6","11.6","11.4","","11.4","11.7","11.4","16.1"
"Visitors from Latin America","Dinner shows and cruises","Daily spending ($)","dollar","3.81","6.13","3.82","4.40","6.35","4.51","7.14","4.96","8.26","5.96","9.85","","8.30","8.52","15.43","10.94"
"Visitors from Latin America","Dinner shows and cruises","% of total spending","percent","2.1","2.9","1.8","2.2","2.9","1.7","2.9","2.7","3.3","2.5","4.2","","3.3","3.4","4.9","4.2"
"Visitors from Latin America","Groceries and snacks","Daily spending ($)","dollar","5.06","5.37","7.52","6.75","9.12","7.44","11.75","6.13","7.89","8.11","10.39","","8.74","9.68","11.50","15.35"
"Visitors from Latin America","Groceries and snacks","% of total spending","percent","2.7","2.5","3.6","3.4","4.1","2.8","4.7","3.3","3.1","3.4","4.4","","3.5","3.9","3.7","5.9"
"Visitors from Latin America","Total Entertainment & Recreation","Daily spending ($)","dollar","17.20","18.57","19.89","19.68","26.90","19.67","25.74","16.74","23.39","25.18","21.87","","24.47","24.23","36.62","32.89"
"Visitors from Latin America","Total Entertainment & Recreation","% of total spending","percent","9.3","8.7","9.4","9.8","12.1","7.3","10.4","9.0","9.2","10.5","9.4","","9.8","9.7","11.7","12.6"
"Visitors from Latin America","Attractions/entertainment","Daily spending ($)","dollar","","","","","","4.83","9.88","5.55","6.34","8.50","4.47","","7.41","11.21","19.23","8.98"
"Visitors from Latin America","Attractions/entertainment","% of total spending","percent","","","","","","1.8","4.0","3.0","2.5","3.5","1.9","","3.0","4.5","6.1","3.5"
"Visitors from Latin America","Recreation","Daily spending ($)","dollar","","","","","","6.57","6.80","5.12","11.05","7.80","9.99","","10.01","8.93","4.22","5.33"
"Visitors from Latin America","Recreation","% of total spending","percent","","","","","","2.4","2.7","2.7","4.4","3.2","4.3","","4.0","3.6","1.3","2.0"
"Visitors from Latin America","Other activities & tours","Daily spending ($)","dollar","","","","","","8.27","9.06","6.06","6.00","7.43","7.40","","7.05","4.09","13.16","18.58"
"Visitors from Latin America","Other activities & tours","% of total spending","percent","","","","","","3.1","3.7","3.2","2.4","3.1","3.2","","2.8","1.6","4.2","7.1"
"Visitors from Latin America","Total Transportation","Daily spending ($)","dollar","23.81","27.58","23.42","29.43","26.48","28.55","29.20","22.79","25.70","29.51","28.84","","29.93","30.33","35.74","38.36"
"Visitors from Latin America","Total Transportation","% of total spending","percent","12.9","13.0","11.1","14.7","11.9","10.6","11.8","12.2","10.1","12.3","12.3","","12.0","12.2","11.4","14.7"
"Visitors from Latin America","Interisland airfare","Daily spending ($)","dollar","8.42","10.16","5.27","9.21","5.82","7.96","8.66","4.70","3.22","5.29","11.51","","7.33","7.51","6.46","9.40"
"Visitors from Latin America","Interisland airfare","% of total spending","percent","4.6","4.8","2.5","4.6","2.6","3.0","3.5","2.5","1.3","2.2","4.9","","2.9","3.0","2.1","3.6"
"Visitors from Latin America","Ground transportation","Daily spending ($)","dollar","1.12","1.53","2.42","2.07","2.47","1.01","2.26","1.14","1.98","2.71","2.61","","2.42","2.77","7.41","5.97"
"Visitors from Latin America","Ground transportation","% of total spending","percent","0.6","0.7","1.1","1.0","1.1","0.4","0.9","0.6","0.8","1.1","1.1","","1.0","1.1","2.4","2.3"
"Visitors from Latin America","Rental vehicles","Daily spending ($)","dollar","12.44","13.60","14.22","17.05","16.72","18.07","17.13","15.40","19.72","20.54","14.91","","18.87","18.73","20.53","19.88"
"Visitors from Latin America","Rental vehicles","% of total spending","percent","6.7","6.4","6.7","8.5","7.5","6.7","6.9","8.2","7.8","8.5","6.4","","7.6","7.5","6.5","7.6"
"Visitors from Latin America","Gasoline, parking, etc.","Daily spending ($)","dollar","1.82","2.29","1.52","1.10","1.48","1.50","1.15","1.55","1.43","1.37","1.16","","1.31","1.33","1.35","3.10"
"Visitors from Latin America","Gasoline, parking, etc.","% of total spending","percent","1.0","1.1","0.7","0.5","0.7","0.6","0.5","0.8","0.6","0.6","0.5","","0.5","0.5","0.4","1.2"
"Visitors from Latin America","Total Shopping","Daily spending ($)","dollar","33.01","37.48","39.98","38.96","32.98","58.44","29.65","34.09","44.76","29.85","24.37","","34.60","30.86","55.67","26.49"
"Visitors from Latin America","Total Shopping","% of total spending","percent","17.8","17.6","18.9","19.5","14.8","21.7","12.0","18.3","17.7","12.4","10.4","","13.9","12.4","17.8","10.2"
"Visitors from Latin America","Fashion and clothing","Daily spending ($)","dollar","16.83","19.57","16.97","19.34","15.42","25.65","17.50","13.43","27.59","16.70","11.79","","18.98","15.06","25.76","8.57"
"Visitors from Latin America","Fashion and clothing","% of total spending","percent","9.1","9.2","8.0","9.7","6.9","9.5","7.1","7.2","10.9","6.9","5.0","","7.6","6.0","8.2","3.3"
"Visitors from Latin America","Jewelry and watches","Daily spending ($)","dollar","5.23","4.84","7.13","4.67","3.58","15.58","1.86","11.23","3.49","3.54","1.76","","3.18","2.86","9.85","1.61"
"Visitors from Latin America","Jewelry and watches","% of total spending","percent","2.8","2.3","3.4","2.3","1.6","5.8","0.8","6.0","1.4","1.5","0.8","","1.3","1.1","3.1","0.6"
"Visitors from Latin America","Cosmetics, perfume","Daily spending ($)","dollar","0.92","0.79","1.26","3.44","2.37","3.38","1.87","1.35","1.86","1.46","0.63","","1.30","0.93","4.38","0.19"
"Visitors from Latin America","Cosmetics, perfume","% of total spending","percent","0.5","0.4","0.6","1.7","1.1","1.3","0.8","0.7","0.7","0.6","0.3","","0.5","0.4","1.4","0.1"
"Visitors from Latin America","Leather goods","Daily spending ($)","dollar","3.47","4.32","3.47","2.40","2.72","0.99","0.60","0.20","1.05","0.36","0.26","","0.71","0.45","3.90","0.92"
"Visitors from Latin America","Leather goods","% of total spending","percent","1.9","2.0","1.6","1.2","1.2","0.4","0.2","0.1","0.4","0.1","0.1","","0.3","0.2","1.2","0.4"
"Visitors from Latin America","Hawaii food products","Daily spending ($)","dollar","0.98","1.10","2.47","2.14","3.44","4.54","2.29","2.04","3.87","2.46","2.87","","3.39","3.26","3.41","5.23"
"Visitors from Latin America","Hawaii food products","% of total spending","percent","0.5","0.5","1.2","1.1","1.5","1.7","0.9","1.1","1.5","1.0","1.2","","1.4","1.3","1.1","2.0"
"Visitors from Latin America","Souvenirs","Daily spending ($)","dollar","5.57","6.85","8.67","6.96","5.45","8.30","5.53","5.85","7.02","5.96","8.29","","7.04","8.30","7.92","9.97"
"Visitors from Latin America","Souvenirs","% of total spending","percent","3.0","3.2","4.1","3.5","2.5","3.1","2.2","3.1","2.8","2.5","3.5","","2.8","3.3","2.5","3.8"
"Visitors from Latin America","Lodging","Daily spending ($)","dollar","58.09","68.14","72.54","70.79","84.37","114.90","96.25","66.18","98.76","97.64","94.82","","97.69","98.95","111.20","71.43"
"Visitors from Latin America","Lodging","% of total spending","percent","31.4","32.1","34.3","35.4","38.0","42.6","38.9","35.4","39.0","40.6","40.6","","39.1","39.7","35.5","27.5"
"Visitors from Latin America","All other expenses","Daily spending ($)","dollar","19.47","19.39","15.97","2.86","9.36","10.44","17.41","13.47","17.92","16.46","16.98","","17.39","17.20","15.11","22.68"
"Visitors from Latin America","All other expenses","% of total spending","percent","10.5","9.1","7.6","1.4","4.2","3.9","7.0","7.2","7.1","6.8","7.3","","7.0","6.9","4.8","8.7"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."
